id,account_type_id,account_number,amount_limit,status,current_balance,active_at,inactive_at,blocked_at,created_at,updated_at,deleted_at
0000dbe1-f5c6-4e0b-804b-fa989be6ec89,999cb3f5-81eb-4054-9c2b-9ea470fc221c,6634056942,20000,2,31501.54,,,,2023-03-17 06:58:04 UTC,2023-03-17 06:58:04 UTC,
00053cbd-733a-4123-98ca-04830c73ad7f,999cb3f5-81eb-4054-9c2b-9ea470fc221c,3371315875,20000,0,54097.12,,,,2023-03-17 06:57:51 UTC,2023-03-17 06:57:51 UTC,
000589b0-cb7d-40a1-be64-32669f56fa11,77294df1-3b83-4e9e-b4a1-db201c20e585,8050480850,20000,2,94192.28,,,,2023-03-17 07:08:47 UTC,2023-03-17 07:08:47 UTC,
000d0967-b5d5-490b-9cba-9ea507743edc,e460ba83-d642-4c36-b7c4-5b5a786397ad,6368731818,20000,1,70510.02,,,,2023-03-17 16:26:04 UTC,2023-03-17 16:26:04 UTC,
00160b2b-4bf0-4c2f-ad81-f44d3c343ab1,999cb3f5-81eb-4054-9c2b-9ea470fc221c,6171846033,20000,0,81364.87,,,,2023-03-17 07:12:18 UTC,2023-03-17 07:12:18 UTC,
0016f45b-72d1-4911-9121-d84c94ec0ee4,999cb3f5-81eb-4054-9c2b-9ea470fc221c,1593152630,20000,0,17510.95,,,,2023-01-27 18:22:55 UTC,2023-01-27 18:22:55 UTC,
0018686a-19c1-4c3f-a7c8-7f965c0d2e62,999cb3f5-81eb-4054-9c2b-9ea470fc221c,8862322892,20000,1,81491.09,,,,2023-03-17 07:01:58 UTC,2023-03-17 07:01:58 UTC,
001a913d-799e-4fee-ac89-613791d9590f,77294df1-3b83-4e9e-b4a1-db201c20e585,5511868893,20000,2,86390.65,,,,2023-03-17 07:15:23 UTC,2023-03-17 07:15:23 UTC,
001d52d9-abff-4121-a289-546b1baf805b,e460ba83-d642-4c36-b7c4-5b5a786397ad,7657154521,20000,1,12132.35,,,,2023-03-17 07:01:37 UTC,2023-03-17 07:01:37 UTC,
0020877c-b8f0-4b61-8086-882dacf89a2a,77294df1-3b83-4e9e-b4a1-db201c20e585,1616950443,20000,1,58366.09,,,,2023-03-17 07:15:35 UTC,2023-03-17 07:15:35 UTC,
00227005-03e6-4fd2-9d97-07e584626ed9,77294df1-3b83-4e9e-b4a1-db201c20e585,5460652826,20000,2,29208.03,,,,2023-03-17 07:06:59 UTC,2023-03-17 07:06:59 UTC,
00263fcf-97ea-4334-810d-2684df7f958c,77294df1-3b83-4e9e-b4a1-db201c20e585,1131513210,20000,2,86271.02,,,,2023-03-17 07:15:59 UTC,2023-03-17 07:15:59 UTC,
0027d7e0-7854-4664-ad58-27f38d9dd81f,999cb3f5-81eb-4054-9c2b-9ea470fc221c,9556362740,20000,0,34552.02,,,,2023-03-17 07:01:34 UTC,2023-03-17 07:01:34 UTC,
002a43e8-2d9a-4a63-8899-a6970190f9c1,999cb3f5-81eb-4054-9c2b-9ea470fc221c,3426363381,20000,0,79911.79,,,,2023-03-17 07:02:39 UTC,2023-03-17 07:02:39 UTC,
002d6f06-72fc-4175-b127-729837301540,77294df1-3b83-4e9e-b4a1-db201c20e585,4642952825,20000,0,77176.94,,,,2023-03-17 07:10:21 UTC,2023-03-17 07:10:21 UTC,
002fb7d4-c7b2-4f89-b9c1-d4045c888e7b,77294df1-3b83-4e9e-b4a1-db201c20e585,9723625235,20000,1,95970.71,,,,2023-03-17 07:11:40 UTC,2023-03-17 07:11:40 UTC,
