id,manager_id,customer_id,department_id,official_email,education,work_status,designation,salary_amount,date_of_joining,active_at,available_at,resignate_at,created_at,updated_at,deleted_at
0039fa10-77ea-44fe-8e72-682564d3d7a2,27454bbe-3dec-4957-97e7-aff4d9e04b01,c75e9557-d8be-41f7-9eae-d9299d0cfb0f,2a128ffa-f97b-4401-ba65-4573697de9af,hien@welch.name,Master of Design,1,cashier,56856.15,2000-11-20,,,,2023-03-17 06:56:21 UTC,2023-03-17 06:56:21 UTC,
00ae76b0-6add-4621-b6a3-707fe2c5c5a7,cd75651c-f0b2-4711-9433-604f46e1f208,08b4cbe1-7795-4764-803c-743062bca2d4,bd2c9f4c-bd43-4807-888c-beff6663e546,haywood@mayert.biz,Bachelor of Biological Science,1,cashier,89736.86,2016-05-18,,,,2023-03-17 06:56:16 UTC,2023-03-17 06:56:16 UTC,
014077fb-130a-4b26-8042-92e1572d0311,316d836c-fd3a-4ca5-a075-57866c200641,7225074c-efa4-46c8-840d-9264c46e128e,e19f72ca-e4f6-4b4b-ab59-4568d11adea8,eldridge_glover@reilly.info,Associate Degree in Creative Arts,2,cashier,36203.95,2003-04-09,,,,2023-03-17 06:56:18 UTC,2023-03-17 06:56:18 UTC,
01e8c8de-ad32-4fdf-8140-fa777f14fb73,0be4db7d-1865-4654-abec-dd2999d51ac1,6ff06869-1ca4-4702-a7d4-176210bbf22f,bd2c9f4c-bd43-4807-888c-beff6663e546,marshall_wilderman@ryan-keebler.biz,Associate Degree in Biological Science,2,cashier,30097.83,2007-10-21,,,,2023-03-17 06:56:13 UTC,2023-03-17 06:56:13 UTC,
01f68ccf-2f60-49a3-b1c9-a50e67eec19b,fc5e2d67-1a2c-4edb-922f-54b710476abf,688def80-21d4-43c7-a068-c0857ebd7b82,e19f72ca-e4f6-4b4b-ab59-4568d11adea8,robby_herman@wolf-gleason.name,Master of Law,2,cashier,22232.57,2002-05-17,,,,2023-01-27 18:20:17 UTC,2023-01-27 18:20:17 UTC,
03040273-e816-4bd5-9c3b-510b8bc00ff1,30af0c87-87b7-4473-864e-e411c7190b58,41d416ac-75fd-420c-8056-211af48d3fcf,bd2c9f4c-bd43-4807-888c-beff6663e546,tifany@feeney-heidenreich.name,Bachelor of Computer Science,2,cashier,53895.66,1999-08-13,,,,2023-03-17 07:01:38 UTC,2023-03-17 07:01:38 UTC,
0361b3fc-fe8e-44b2-b3f1-5ce4fb04fc77,8882477e-6230-451f-8789-6055930cea3b,5ebf827d-63d4-42c2-b592-431b005eb3e2,bd2c9f4c-bd43-4807-888c-beff6663e546,flor.wilderman@pfeffer.net,Master of Biological Science,2,cashier,49102.98,2004-02-14,,,,2023-03-17 06:54:40 UTC,2023-03-17 06:54:40 UTC,
046460f8-2bb5-44cc-a63e-6c9a6d6ea6f6,907c823e-2675-4175-9d60-a1ea1068d6a9,3a081bca-88d9-432e-8f19-b2daf0a38244,89d36c00-3f8e-4aa9-b4ff-b111b1379bc6,titus@hudson.co,Associate Degree in Commerce,2,cashier,56741.19,2016-01-19,,,,2023-03-17 16:08:26 UTC,2023-03-17 16:08:26 UTC,
046fed3d-e128-4dcc-b974-afeb5c7fe623,a5277162-d527-4ea7-8b75-fb4e4e5d0ce9,61d34de3-9a94-4740-b181-e2c3e2fc69a7,2a128ffa-f97b-4401-ba65-4573697de9af,michel@little.info,Bachelor of Forensic Science,2,cashier,81481.21,2013-07-20,,,,2023-03-17 06:56:10 UTC,2023-03-17 06:56:10 UTC,
047e1e44-6f9a-41e8-8db1-a5213b91d162,fdf80317-557b-4680-a042-fce95e4ce3f2,b278473e-00ad-4147-b0f2-695afd0929eb,e19f72ca-e4f6-4b4b-ab59-4568d11adea8,keren_heidenreich@streich.com,Associate Degree in Criminology,1,cashier,59125.76,2002-07-10,,,,2023-03-17 07:01:37 UTC,2023-03-17 07:01:37 UTC,
04a41686-fee4-42a2-a221-40e97d4556bd,61d76da6-c7ab-442f-a0c7-f4756360b549,a85e34cb-786d-43ae-9787-366c52776830,89d36c00-3f8e-4aa9-b4ff-b111b1379bc6,madonna_kuhlman@doyle-kutch.co,Master of Nursing,1,cashier,57822.23,2000-06-01,,,,2023-03-17 06:56:13 UTC,2023-03-17 06:56:13 UTC,
05012be7-27e8-4348-8d3b-656eecefb3ce,307948e0-01e9-4e12-a3e3-502e3eda6988,fcd7d24c-b997-4288-ab9b-a106a9b008aa,78e3877f-1664-4012-a07c-11dda3dfebaf,berry@goldner.info,Associate Degree in Commerce,0,cashier,66416.67,2008-06-16,,,,2023-03-17 06:54:34 UTC,2023-03-17 06:54:34 UTC,
055055a6-cea5-4f75-9318-d15636417a50,cd75651c-f0b2-4711-9433-604f46e1f208,32b11f60-c549-431d-9966-0c7fc9ea8820,e19f72ca-e4f6-4b4b-ab59-4568d11adea8,eleonore.dare@hessel-vandervort.io,Associate Degree in Education,0,cashier,15393.56,2006-02-01,,,,2023-03-17 06:54:38 UTC,2023-03-17 06:54:38 UTC,
05a8ce2a-4f7c-4537-a7a2-9d32daf81160,2ec0b98e-c980-4060-901a-99304793c6d8,967a8fae-8edf-46cd-8264-a543a456f0da,bd2c9f4c-bd43-4807-888c-beff6663e546,angel@jaskolski-kub.io,Bachelor of Health Science,1,cashier,55169.27,2011-06-14,,,,2023-03-17 16:08:08 UTC,2023-03-17 16:08:08 UTC,
05d6772b-acd5-4b69-ad77-2469898b0d57,5803920b-dc6f-42c7-927a-69fc39df9c7e,7dd5564b-0bdc-42e1-9b48-d04b5e856879,78e3877f-1664-4012-a07c-11dda3dfebaf,gina_nader@nicolas-fay.com,Associate Degree in Communications,2,cashier,13959.68,2004-04-04,,,,2023-03-17 16:05:31 UTC,2023-03-17 16:05:31 UTC,
067ee5c3-dd82-4f6d-b43d-f97d88882498,69e701dc-965b-4f05-a1d7-0509953afd3b,7ea80021-fad4-47d4-859a-30d415ab35c2,78e3877f-1664-4012-a07c-11dda3dfebaf,keven@stiedemann.co,Master of Arts,1,cashier,18870.72,2001-10-23,,,,2023-03-17 06:54:39 UTC,2023-03-17 06:54:39 UTC,
0792298d-9215-4218-b35e-52d472d71c94,c70fc1d3-120a-4afa-9f3c-0ec9256cff54,817c4d22-3ebf-4533-9fa2-1984068bb0ed,bd2c9f4c-bd43-4807-888c-beff6663e546,wilton_swift@hahn-zemlak.info,Bachelor of Design,0,cashier,13452.46,2021-10-08,,,,2023-01-27 18:20:17 UTC,2023-01-27 18:20:17 UTC,
07982644-52ed-471c-9824-804bbbd18919,ca0831d1-2218-4fd9-b081-1be996114a04,dee979ea-cb4b-4f06-a203-c02fd7840116,2a128ffa-f97b-4401-ba65-4573697de9af,marlen.hermann@koepp.biz,Master of Creative Arts,0,cashier,79533.07,2008-04-22,,,,2023-03-17 06:56:11 UTC,2023-03-17 06:56:11 UTC,
07c583f5-0231-4afd-b56e-be4c02fd018a,110c6eb3-2788-4f83-be4b-427de76f1b03,efe3dbea-e0ba-49a1-bf9b-d47a1e58470e,e19f72ca-e4f6-4b4b-ab59-4568d11adea8,delena@lesch-schamberger.net,Associate Degree in Business,2,cashier,49825.89,2000-08-26,,,,2023-03-17 07:01:39 UTC,2023-03-17 07:01:39 UTC,
07de3391-a156-4d6b-acfb-57b169ecb0fe,336d4b91-9089-4082-9d03-19e5db53f14a,8d7ee886-562e-4cbc-9272-d510b444ffa2,2a128ffa-f97b-4401-ba65-4573697de9af,marco_bayer@schulist-vonrueden.info,Associate Degree in Biomedical Science,0,cashier,79328.22,2011-01-01,,,,2023-03-17 06:56:13 UTC,2023-03-17 06:56:13 UTC,
0871b41a-26a8-42c5-9083-67993c0ecb61,46ab972a-729e-4566-b75d-47052afa3837,d3a8674a-0d44-4308-af46-7fb80c09a7d1,2a128ffa-f97b-4401-ba65-4573697de9af,freddie@bednar-cummerata.info,Bachelor of Biological Science,1,cashier,48313.83,2022-08-09,,,,2023-03-17 07:01:31 UTC,2023-03-17 07:01:31 UTC,
08b49fce-d627-4e37-8796-9267797bf72b,a5f708f4-f738-4747-be36-1302cff1e754,210a6a5e-0e23-4d5a-9140-3cde9973a250,bd2c9f4c-bd43-4807-888c-beff6663e546,roosevelt@torp-boyle.com,Associate Degree in Health Science,1,cashier,53556.45,2002-12-31,,,,2023-03-17 07:01:40 UTC,2023-03-17 07:01:40 UTC,
08dc52f4-5bc3-45e7-bac5-fd88f4881f8f,bcce9104-015f-4fdc-9965-16192b66acac,55662e32-e939-4b96-b60c-496a04234f23,78e3877f-1664-4012-a07c-11dda3dfebaf,floretta@crona.net,Bachelor of Law,0,cashier,73419.88,2004-09-19,,,,2023-03-17 06:56:14 UTC,2023-03-17 06:56:14 UTC,
0954cc96-3981-43ca-ad66-09eebcd9c416,2a318f54-662b-4640-9e00-439f10c757c8,00da31d9-5ede-48dd-9c5a-d6dd99cc6d7d,45748634-824f-4c10-b454-6b90378b73b7,lesley.terry@hagenes-treutel.io,Master of Information Systems,2,cashier,57655.23,2014-02-08,,,,2023-03-17 07:01:31 UTC,2023-03-17 07:01:31 UTC,
099c6864-6230-46d0-b95b-ada9108b709c,3e45763a-4e0f-49b1-a77a-6e2d57b51051,e3de6ee7-77d1-43f1-9fab-d58e8ff69e2e,2a128ffa-f97b-4401-ba65-4573697de9af,deon@dooley-reilly.com,Associate Degree in Information Systems,0,cashier,62153.24,2020-09-21,,,,2023-03-17 06:56:08 UTC,2023-03-17 06:56:08 UTC,
09ee58b8-3f16-4564-8b3e-9a41916f700b,c70fc1d3-120a-4afa-9f3c-0ec9256cff54,aefda022-c82b-46ba-bd6d-f46c16e0ef45,89d36c00-3f8e-4aa9-b4ff-b111b1379bc6,bridget@kilback.io,Associate Degree in Business,2,cashier,45394.09,2012-01-22,,,,2023-03-17 06:54:38 UTC,2023-03-17 06:54:38 UTC,
0a6d7306-9979-4206-aa39-59f977072806,c70fc1d3-120a-4afa-9f3c-0ec9256cff54,4d8b2b00-e7c6-40a6-b0c2-52a372d732bc,2a128ffa-f97b-4401-ba65-4573697de9af,kum.runolfsson@gorczany-hand.net,Bachelor of Commerce,1,cashier,84349.29,2010-11-01,,,,2023-03-17 06:56:20 UTC,2023-03-17 06:56:20 UTC,
0adccb74-03cf-4b8b-909e-ac9357446681,0be4db7d-1865-4654-abec-dd2999d51ac1,8fc547a5-a9f8-471f-bcd5-08c060dc21ce,bd2c9f4c-bd43-4807-888c-beff6663e546,reda@huel.io,Bachelor of Education,0,cashier,48289.45,2019-03-22,,,,2023-03-17 06:56:10 UTC,2023-03-17 06:56:10 UTC,
0b18aa47-984c-499b-a5af-a2a7deb432bb,a5f708f4-f738-4747-be36-1302cff1e754,5daee7fe-9630-46f1-b0d1-d05504d0a0db,89d36c00-3f8e-4aa9-b4ff-b111b1379bc6,rob_willms@hodkiewicz.biz,Master of Biomedical Science,1,cashier,33362.94,2022-12-01,,,,2023-03-17 06:56:07 UTC,2023-03-17 06:56:07 UTC,
